30.5,276,2016,9,2,6,0.004062727967617473,0.1824134376518727,0.1705187383904088,-3.231190469448267
31.5,277,2016,9,2,12,0.02032411508150207,0.2241418849319143,0.1671894557052131,-3.576594877021015
33,278.5,2016,9,2,18,0.02949598538997985,0.2351128280435168,0.1279885770862542,-4.335940052211284
34,280.5,2016,9,3,0,0.05849473969205028,0.2589564016560973,0.08093111974099573,-4.899224744626507
35,282.5,2016,9,3,6,0.06816583951397358,0.267665570852921,6.684128217164141e-05,-4.754192211115359
36.5,284.5,2016,9,3,12,0.04407901912456593,0.2100516845109872,-0.06253622810638386,-4.062597073453665
37,285,2016,9,3,18,0.02113018483304048,0.1846089393738028,-0.118896792540059,-3.959828170290216
36,285.5,2016,9,4,0,0.05798885898585541,0.1548569012710795,-0.1386808660381541,-3.577869565865397
36.5,286,2016,9,4,6,0.06489088856727367,0.07454533247353028,-0.08614662342486161,-2.829862351216376
37,287,2016,9,4,12,0.06942815752725963,0.05955113737696434,-0.07257883145821126,-2.217873998263479
16,261,2016,9,4,18,0.01565139001214169,0.08621455185788071,0.02230809715943794,-2.713326976720989
38,288,2016,9,5,0,0.1006847552410275,0.1100693193575323,0.1172559984042959,-2.965105903264879
38,287.5,2016,9,5,6,0.08627842695593757,0.08895067530754948,0.2311130377999153,-2.778745171099902
38,287,2016,9,5,12,0.03241884035919328,0.07561424666726231,0.2520968661279582,-1.032273248189688
38,287,2016,9,5,18,0.02652811029000921,0.05059752887260461,0.201786476829524,-0.06638212840557099
38,287.5,2016,9,6,0,0.007508482116623692,0.01782527764481836,0.07998349317167176,-0.2644649350889026
38.5,288.5,2016,9,6,6,0.01915722494200211,-0.007690219519166544,0.01963662365596967,-0.3120487412929536
39,289,2016,9,6,12,0.07373194089559938,0.01338270804416999,-0.02012844780253772,-0.3638684242233633
39.5,289.5,2016,9,6,18,0.05972542288649668,0.03233163181931425,0.03617261295280165,-1.15879343046546
39.5,290,2016,9,7,0,0.05141566619571796,0.05314321018766949,0.06131809093950445,-0.8752445934865623
40,290,2016,9,7,6,0.03428059650482296,0.0541583359893691,0.04896713960534948,-0.82802516168952
40,290.5,2016,9,7,12,0.02623150776298851,0.06864716440958214,-0.004033256092606981,-1.577024441450835
39.5,290,2016,9,7,18,0.03374650401747638,0.05153056565710314,0.01001356134735149,-2.268901709848643
39.5,290.5,2016,9,8,0,0.03644573623041211,0.05179120116859905,0.003921523936775689,-1.485075932091475
39.5,290.5,2016,9,8,6,0.03225173852228178,0.05220056765613339,0.008619086738938783,-1.344796166888997
39,290.5,2016,9,8,12,0.01631467315751139,0.0497960455975637,0.006798365389795568,-0.5639680501043797
38.5,290.5,2016,9,8,18,0.01609488820987072,0.05133298644569687,0.03369596653149202,-0.3035702802605927
38.5,291,2016,9,9,0,0.01326971566585127,0.06703058927988378,0.04736756704766493,-0.2876670222878456
38.5,292,2016,9,9,6,0.002683943072284428,0.07693303694898641,0.08123255058405963,-0.4595249885797502
38.5,293,2016,9,9,12,0.01403300696069625,0.1281383500229689,0.08313365262343826,-0.4422556303739549
39,294.5,2016,9,9,18,0.02854571123555035,0.1814923045976568,0.1198216789487333,-0.8492606299847365
39,296,2016,9,10,0,0.03523223419441111,0.1957708374323489,0.136734764195012,-1.709906629553437
39.5,298.5,2016,9,10,6,0.03517213592764554,0.2042051900345518,0.1446821233798908,-2.31187640104182
39.5,301,2016,9,10,12,0.03354521536880298,0.2127706187575297,0.1736370416639558,-3.233196924439726
39.5,301,2016,9,10,12,0.03354521536880298,0.2127706187575297,0.1736370416639558,-3.233196924439726
