24,280,2016,8,28,12,0.004345944699423307,0.08856263804115208,0.04748710195533404,-0.7652184411704543
24,278.5,2016,8,28,18,0.0115130373481322,0.08914630650934785,0.02292966569001108,-1.468739783037826
23.5,277.5,2016,8,29,0,0.009046417765070654,0.1002873549496918,0.007277808788328201,-2.535075757443904
23.5,276.5,2016,8,29,6,0.006745576842545982,0.09795862553230593,-0.01727512990837556,-2.326943817865848
24,276,2016,8,29,12,0.008233575953561754,0.08754170526696317,-0.03663865205177873,-1.848239873848297
24,275.5,2016,8,29,18,0.009351197167781735,0.08899702656918677,-0.03574609556451938,-2.105024145272374
24,275,2016,8,30,0,0.01003959057219036,0.08985201370269613,-0.01176050526381189,-2.798676033581235
24,274,2016,8,30,6,0.01004642184104621,0.07518532761129915,-0.02413305808857884,-2.202641596901417
24,273,2016,8,30,12,0.007587745950172956,0.0777913362267441,-0.011115793604602,-1.268597557230294
24.5,273,2016,8,30,18,0.01553493808851037,0.09283572773086159,0.0144942411279667,-1.710210597273707
24,272,2016,8,31,0,0.01275323220670361,0.09407654770574168,0.04630167363728307,-2.34899811643213
24,272,2016,8,31,6,0.009892814971122538,0.100391096374422,0.04790115159538421,-2.206313500935584
24.5,272.5,2016,8,31,12,0.01315848346371924,0.1109773694064417,0.06111739638398675,-2.398892373043298
25.5,272.5,2016,8,31,18,0.01229957398788031,0.1331442411406891,0.08616736778545843,-2.721468263334036
25,273,2016,9,1,0,0.008080786547080627,0.1452743327585743,0.1198493975115936,-3.072778421869129
26,273.5,2016,9,1,6,0.001295873810885178,0.1490882005149958,0.1108009090926946,-2.510934954965114
27,274,2016,9,1,12,0.0003169649218911468,0.1741949488240634,0.09644210670398932,-2.595903243368864
28,274.5,2016,9,1,18,0.003680817539215194,0.2101111909354638,0.1611911435182998,-3.586099432080704
29,275,2016,9,2,0,0.006981994981261579,0.2237527667570653,0.2015674999861213,-3.000672183234989
30.5,276,2016,9,2,6,0.005993504830021649,0.2387052654283284,0.2107692798923076,-3.231190469448267
31.5,277,2016,9,2,12,0.02841520155547357,0.2782121035640159,0.1858154203957317,-3.576594877021015
33,278.5,2016,9,2,18,0.04274084591668394,0.2816191259408111,0.1246572465992617,-4.529741719120741
34.5,281,2016,9,3,0,0.07327872505468562,0.297939677980384,0.08043688688693972,-5.641602546462415
35,283,2016,9,3,6,0.1019226863613214,0.3313914605354014,0.01647634350322735,-5.100604531143606
36.5,285,2016,9,3,12,0.08500662465982213,0.309147127011655,-0.09807195597275024,-4.454740051460266
36.5,285.5,2016,9,3,18,0.09495204345626279,0.3110533919911784,-0.1903484643187081,-4.197659951576591
37,287,2016,9,4,0,0.1107081510562617,0.2464783230652042,-0.2364384895141272,-3.678141939103604
36.5,287.5,2016,9,4,6,0.1092496832612089,0.2081722274208501,-0.2240326602285474,-2.930338722771406
38,291.5,2016,9,4,12,0.0631482126804126,0.2141960512844716,-0.05298308299183067,-2.850912573722004
37.5,290.5,2016,9,4,18,0.08541886850308839,0.2599261610259581,-0.03444560249179288,-2.68684671625793
37,291,2016,9,5,0,0.08217932870259556,0.2800985719050429,-0.008028737579467421,-2.790339894476533
37.5,290.5,2016,9,5,6,0.09577798880334287,0.2391013510033791,0.1009918219544094,-1.373026881113649
38,291,2016,9,5,12,0.08979105767365755,0.2833449432728242,0.09299458176792615,-2.3947650148198
39,290.5,2016,9,5,18,0.1188797503312874,0.2743036271459282,0.1363238860168636,-1.646519954043627
40,290,2016,9,6,0,0.08618479215839475,0.2995192692320763,0.2032655951969612,-0.6521885361373423
39.5,288.5,2016,9,6,6,0.05762836932110968,0.2715205840257785,0.2998360732372345,0.1150908269882203
39.5,288,2016,9,6,12,0.03721226149431109,0.2372413830109653,0.3745350506559019,0.1485545938909057
39.5,287.5,2016,9,6,18,0.05401755773368881,0.2168724703725584,0.5705134602768596,0.09068042844906415
39,287.5,2016,9,7,0,0.06626600985948702,0.1741412324635193,0.5564128644691012,0.5040860623598098
39,288,2016,9,7,6,0.02448144123977326,0.1463232120796719,0.5271289552077322,1.620184941786528
39.5,288,2016,9,7,12,0.00351774126533938,0.1420688455215154,0.3622010143797526,0.7598713369637727
39.5,288,2016,9,7,18,0.02415781907099046,0.135897522134105,0.275689032759725,0.4725496540285646
39.5,288,2016,9,8,0,0.04803509315188702,0.1251004387724861,0.3027831896614659,0.5695062711548059
40,288.5,2016,9,8,6,0.03232496605704976,0.09820265094671951,0.2365681950277155,-0.5181180847853423
40.5,289.5,2016,9,8,12,0.03215997468117638,0.1092218562858069,0.1447026199583747,-2.095852333542705
41,290.5,2016,9,8,18,0.03866862955573953,0.1074836157045041,0.04539503834769484,-1.950775702735782
41,290.5,2016,9,9,0,0.03866862955573953,0.1074836157045041,0.04539503834769484,-1.950775702735782
